rank,bgg_url,game_id,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,weight
"		3798							",https://boardgamegeek.com/boardgame/210/don-pepe,210,3,6,30,30,30,1999,6.24636,5.69925,343,//cf.geekdo-images.com/images/pic24880.jpg,8,none,605,Card Game* Mafia,1.3103
"		3790							",https://boardgamegeek.com/boardgame/31542/field-glory,31542,2,4,180,180,180,2008,6.7422,5.69923,173,//cf.geekdo-images.com/images/pic303062.jpg,0,Dice Rolling* Point to Point Movement,455,Ancient* Book* Medieval* Miniatures* Wargame,3.7407
"		3799							",https://boardgamegeek.com/boardgame/57759/filipino-fruit-market,57759,3,5,30,30,30,2009,6.47582,5.69922,221,//cf.geekdo-images.com/images/pic570393.jpg,10,Trick-taking,295,Card Game,1.8947
"		3800							",https://boardgamegeek.com/boardgame/72285/totemo,72285,2,4,30,30,30,2010,6.78098,5.69922,163,//cf.geekdo-images.com/images/pic739382.jpg,6,Pattern Building,171,Abstract Strategy* Children's Game* Educational,1.5833
"		3817							",https://boardgamegeek.com/boardgame/2379/guesstures,2379,4,99,10,10,10,1990,5.93258,5.69912,1073,//cf.geekdo-images.com/images/pic485239.jpg,8,Acting* Partnerships* Role Playing* Roll / Spin and Move,2217,Card Game* Party Game* Word Game,1.1809
"		3853							",https://boardgamegeek.com/boardgame/166109/meteor,166109,1,6,15,15,15,2014,6.37163,5.69904,289,//cf.geekdo-images.com/images/pic2256875.png,12,Co-operative Play* Hand Management,926,Card Game* Real-time* Science Fiction,1.8824
"		3803							",https://boardgamegeek.com/boardgame/1463/girl-genius-works,1463,2,4,30,30,30,2001,6.03494,5.69903,668,//cf.geekdo-images.com/images/pic2695256.jpg,10,Modular Board,1041,Card Game,1.9344
"		3856							",https://boardgamegeek.com/boardgame/104575/steam-torpedo-first-contact,104575,2,2,40,40,40,2011,6.40247,5.69894,281,//cf.geekdo-images.com/images/pic2411470.jpg,13,Modular Board* Variable Player Powers* Worker Placement,1086,Fantasy* Fighting* Nautical* World War I,2.3889
"		3802							",https://boardgamegeek.com/boardgame/127981/dungeon-heroes,127981,1,2,30,30,30,2013,6.44214,5.69877,280,//cf.geekdo-images.com/images/pic1501593.jpg,13,Action Point Allowance System* Area Enclosure* Grid Movement* Memory* Press Your Luck* Tile Placement,698,Bluffing* Exploration* Fantasy* Medieval* Memory,1.95
"		3805							",https://boardgamegeek.com/boardgame/2536/vabanque,2536,3,6,30,30,30,2001,6.11748,5.6987,446,//cf.geekdo-images.com/images/pic96574.jpg,12,Betting/Wagering,513,Bluffing,1.7273
